what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1357589166690
java.runtime.version,sysinfo,,,"1.7.0_05-b06",1357589166690
java.specification.name,sysinfo,,,"Java Platform API Specification",1357589166690
java.specification.vendor,sysinfo,,,"Oracle Corporation",1357589166690
java.specification.version,sysinfo,,,"1.7",1357589166690
java.vendor,sysinfo,,,"Oracle Corporation",1357589166690
java.version,sysinfo,,,"1.7.0_05",1357589166690
java.vm.info,sysinfo,,,"mixed mode, sharing",1357589166690
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1357589166690
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1357589166690
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1357589166690
java.vm.specification.version,sysinfo,,,"1.7",1357589166690
java.vm.vendor,sysinfo,,,"Oracle Corporation",1357589166690
java.vm.version,sysinfo,,,"23.1-b03",1357589166690
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1357589168211
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1357589168543
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1357589168786
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1357589168839
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1357589168999
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1357589169042
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1357589169234
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1357589169339
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1357589169479
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1357589169501
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1357589170794
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1357589171023
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1357589171033
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1357589171535
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1357589171627
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1357589172376
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1357589172451
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1357589172472
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1357589172516
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1357589172926
